,price,area,flat_type,locality,distance_prague_km,district,city
5837,56000,113,5+1,Praha 2 - Vinohrady,1.6941168500925763,Praha 2 - Vinohrady,Praha 2
5838,11000,20,1+kk,Praha 9 - Vysočany,6.401757218929902,Praha 9 - Vysočany,Praha 9
5839,11000,19,1+kk,Praha 9,7.876566904623905,Praha 9,Praha 9
5840,15000,46,3+1,Praha 5 - Hlubočepy,7.002388838463188,Praha 5 - Hlubočepy,Praha 5
5841,11000,34,2+1,Praha 7 - Holešovice,3.078738105266036,Praha 7 - Holešovice,Praha 7
5842,11000,11,1+kk,Praha 9 - Vysočany,5.83064912081487,Praha 9 - Vysočany,Praha 9
5843,23000,51,3+kk,Praha 9 - Prosek,6.111091087148667,Praha 9 - Prosek,Praha 9
5844,11000,31,2+kk,Praha 10 - Strašnice,5.971955691699432,Praha 10 - Strašnice,Praha 10
5845,23000,48,3+kk,Praha 9 - Prosek,6.111091087148667,Praha 9 - Prosek,Praha 9
5846,16000,34,2+kk,Praha 4 - Modřany,8.405667235486002,Praha 4 - Modřany,Praha 4
5847,11000,17,1+kk,Praha 4 - Modřany,8.73490457533012,Praha 4 - Modřany,Praha 4
5848,31000,53,3+kk,Praha 8 - Karlín,2.2804900006427093,Praha 8 - Karlín,Praha 8
5849,28000,46,3+kk,Praha 3 - Žižkov,1.6897792963995728,Praha 3 - Žižkov,Praha 3
5850,24000,52,3+kk,Praha 2 - Vinohrady,1.0686854874213543,Praha 2 - Vinohrady,Praha 2
5851,25000,66,3+kk,Praha 5 - Košíře,3.569056564572552,Praha 5 - Košíře,Praha 5
5852,19000,46,3+1,Praha 10 - Hostivař,8.069954264778943,Praha 10 - Hostivař,Praha 10
5853,17000,32,2+kk,Praha 9 - Prosek,6.111091087148667,Praha 9 - Prosek,Praha 9
5854,15000,22,1+kk,Praha 7 - Holešovice,3.190768779339127,Praha 7 - Holešovice,Praha 7
5856,21000,48,3+1,Praha 10 - Strašnice,6.011915739263691,Praha 10 - Strašnice,Praha 10
5857,12000,25,1+kk,Praha 9 - Hloubětín,7.658661977188843,Praha 9 - Hloubětín,Praha 9
5859,13000,14,1+kk,Praha 2 - Nové Město,1.5130508143045773,Praha 2 - Nové Město,Praha 2
5860,22000,68,3+kk,Praha 9 - Vysočany,6.115906246891681,Praha 9 - Vysočany,Praha 9
5862,56000,113,5+1,Praha 2 - Vinohrady,1.6941168500925763,Praha 2 - Vinohrady,Praha 2
5863,11000,20,1+kk,Praha 9 - Vysočany,6.401757218929902,Praha 9 - Vysočany,Praha 9
5864,11000,19,1+kk,Praha 9,7.876566904623905,Praha 9,Praha 9
5865,11000,11,1+kk,Praha 9 - Vysočany,5.83064912081487,Praha 9 - Vysočany,Praha 9
5866,23000,51,3+kk,Praha 9 - Prosek,6.111091087148667,Praha 9 - Prosek,Praha 9
5867,11000,31,2+kk,Praha 10 - Strašnice,5.971955691699432,Praha 10 - Strašnice,Praha 10
5868,23000,48,3+kk,Praha 9 - Prosek,6.111091087148667,Praha 9 - Prosek,Praha 9
5869,16000,34,2+kk,Praha 4 - Modřany,8.405667235486002,Praha 4 - Modřany,Praha 4
5870,11000,17,1+kk,Praha 4 - Modřany,8.73490457533012,Praha 4 - Modřany,Praha 4
5871,19000,46,3+1,Praha 10 - Hostivař,8.069954264778943,Praha 10 - Hostivař,Praha 10
5872,17000,32,2+kk,Praha 9 - Prosek,6.111091087148667,Praha 9 - Prosek,Praha 9
5873,17000,32,2+1,Praha 9 - Prosek,6.111091087148667,Praha 9 - Prosek,Praha 9
5874,19000,35,2+1,Praha 9 - Prosek,6.111091087148667,Praha 9 - Prosek,Praha 9
5875,11000,31,2+kk,Praha 10 - Strašnice,5.971955691699432,Praha 10 - Strašnice,Praha 10
5876,14000,25,2+kk,Praha 4 - Chodov,9.243478540536099,Praha 4 - Chodov,Praha 4
5877,12000,28,2+kk,Praha 5 - Hlubočepy,7.435269676914497,Praha 5 - Hlubočepy,Praha 5
5878,17000,68,3+kk,Praha 1 - Nové Město,0.8500609780993024,Praha 1 - Nové Město,Praha 1
5879,11000,27,2+1,Praha 5 - Košíře,3.519040041117179,Praha 5 - Košíře,Praha 5
5880,11000,22,1+kk,Praha 3 - Žižkov,3.320779653968469,Praha 3 - Žižkov,Praha 3
5881,14000,29,2+kk,Praha 4 - Modřany,9.755348747171512,Praha 4 - Modřany,Praha 4
5882,14000,32,2+kk,Praha 10 - Strašnice,4.99579968568196,Praha 10 - Strašnice,Praha 10
5883,13000,28,2+kk,Praha 10 - Strašnice,4.99579968568196,Praha 10 - Strašnice,Praha 10
5884,10000,31,2+1,Praha 6 - Břevnov,5.601140695872785,Praha 6 - Břevnov,Praha 6
5885,38000,97,4+kk,Praha 2 - Nové Město,1.3182526927679352,Praha 2 - Nové Město,Praha 2
5886,11000,16,1+kk,Praha 9 - Letňany,7.873028738886291,Praha 9 - Letňany,Praha 9
5887,14000,29,2+kk,Praha 9 - Vysočany,6.3240797736302605,Praha 9 - Vysočany,Praha 9
5888,13000,38,2+kk,Praha 9 - Kbely,10.894676505631574,Praha 9 - Kbely,Praha 9
5889,12000,24,2+kk,Praha 5 - Hlubočepy,7.2561425137907225,Praha 5 - Hlubočepy,Praha 5
5890,13000,38,2+kk,Praha 5 - Košíře,4.900741513131268,Praha 5 - Košíře,Praha 5
5892,20000,43,2+kk,Praha 6 - Dejvice,5.5425895382511525,Praha 6 - Dejvice,Praha 6
5893,12000,20,1+kk,Praha 9 - Hloubětín,7.658661977188843,Praha 9 - Hloubětín,Praha 9
5894,11000,34,2+kk,Praha 5 - Zbraslav,14.052771620750985,Praha 5 - Zbraslav,Praha 5
5895,35000,100,5+1,Praha 5 - Smíchov,1.7055231433691245,Praha 5 - Smíchov,Praha 5
5896,14000,19,1+kk,Praha 10 - Strašnice,6.7527009308934165,Praha 10 - Strašnice,Praha 10
5897,38000,68,4+kk,Praha 10 - Strašnice,6.7527009308934165,Praha 10 - Strašnice,Praha 10
